证券代码,证券名称,华泰借入数量(股),华泰借入期限(天),华泰借入利率,华泰融出数量(股),华泰融出期限(天),华泰融出利率,成交量(股),成交额(元),最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券偿还额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%),融券标的纳入日期,证监会行业,Wind行业,申银万国行业,中信证券行业,上市板块,所属省份,所属城市,flag
000001,平安银行,0,,2.0%,15847000,3-182,3.59%,0,0.0,11.56,-16.7264230260088,1911.4055,859349.6612,942902.1303,-83552.4691,0.00852057903679919,0.703306232571255,,货币金融服务,银行,股份制银行Ⅱ,全国性股份制银行Ⅱ,主板,广东省,深圳市,0
000002,万  科Ａ,100,7,3.0%,16374900,3-182,5.42%,0,0.0,14.31,-41.5228129227111,10270.8509,1120683.2813,1135702.401,-15019.1197,0.0738668300692424,0.830269385359621,,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,广东省,深圳市,1
000006,深振业Ａ,805500,7/14/28,3.2%,191400,3-28,8.0%,0,0.0,5.39,-20.4969996303512,847.2449,15361.7648,15310.8504,50.9144,0.116436199970645,0.156770447154879,,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,广东省,深圳市,1
000008,神州高铁,0,,2.0%,411400,7/14/28,7.0%,0,0.0,2.53,-19.6825396825397,9.3863,5117.0754,5998.4189,-881.3435,0.00141060667201413,0.0959548734098468,,铁路、船舶、航空航天和其他运输设备制造业,资本货物,轨交设备Ⅱ,运输设备,主板,北京,北京市,0
000009,中国宝安,0,,2.0%,815400,7-42,4.0%,31000,334490.0,10.71,36.3404086851856,2509.8585,445791.915,443943.2963,1848.6187,0.0918493429646765,0.658141888597927,,综合,资本货物,电池,综合Ⅱ,主板,广东省,深圳市,0
000012,南  玻Ａ,0,,2.0%,760800,7-42,5.0%,5500,32340.0,5.86,3.03623050680133,521.305,109746.1956,110081.9137,-335.7181,0.0454692506181801,0.429284592930998,,非金属矿物制品业,材料Ⅱ,玻璃玻纤,结构材料,主板,广东省,深圳市,0
000016,深康佳Ａ,5500,14/28,3.2%,223600,7/14/28,6.0%,0,0.0,4.38,-40.5974648496314,753.3903,14437.1028,13569.6709,867.4319,0.107733675157839,0.168611990363441,,计算机、通信和其他电子设备制造业,耐用消费品与服装,黑色家电,黑色家电Ⅱ,主板,广东省,深圳市,1
000021,深科技,0,,2.0%,218900,7/14/28,6.0%,15600,261456.0,16.73,-35.7196695425282,3452.3876,208600.4068,207470.7314,1129.6754,0.132280014477995,0.527720423611882,,计算机、通信和其他电子设备制造业,技术硬件与设备,消费电子,消费电子,主板,广东省,深圳市,0
000025,特  力Ａ,0,,2.0%,61200,7/14/28,6.77%,0,0.0,16.01,-29.429340053517,10154.2656,59419.5305,46685.2144,12734.3161,1.61476630571675,0.460462872807134,,批发业,零售业,综合Ⅱ,综合Ⅱ,主板,广东省,深圳市,0
000027,深圳能源,0,,2.0%,580000,7-42,5.0%,50000,327500.0,6.54,23.496088615027,1517.3487,66144.2024,66268.2381,-124.0357,0.0487684441855104,0.239193734962295,,电力、热力生产和供应业,公用事业Ⅱ,电力,发电及电网,主板,广东省,深圳市,0
000028,国药一致,0,,2.0%,100600,7/14/28,6.0%,0,0.0,32.72,-17.8717878150712,244.0781,50533.6837,52326.4989,-1792.8152,0.0156041035356457,0.509768027192181,,批发业,医疗保健设备与服务,医药商业,其他医药医疗,主板,广东省,深圳市,0
000029,深深房Ａ,79700,7/14,3.1%,81800,7/14/28,7.0%,2800,33992.0,12.17,15.4231148434187,399.5885,2515.6211,2124.7452,390.8759,0.03682333492961,0.0416980578551898,2022-10-24,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,广东省,深圳市,1
000030,富奥股份,110100,14,3.1%,192100,7/14/28,4.08%,2900,15167.0,5.22,-25.1557291925371,140.7505,2716.2683,2541.4023,174.866,0.0159340187721641,0.0586509140159231,,汽车制造业,汽车与汽车零部件,汽车零部件,汽车零部件Ⅱ,主板,吉林省,长春市,1
000031,大悦城,0,,2.0%,377500,7/14/28,4.0%,67900,284501.0,4.22,-26.3525305410122,696.987,22512.094,23027.6488,-515.5548,0.0412609172418397,0.468835874367626,,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,广东省,深圳市,0
000032,深桑达Ａ,30000,14,3.1%,34000,7/14/28,8.0%,0,0.0,28.81,18.0373302391549,1038.975,89360.1659,89032.5786,327.5873,0.0559321077632487,0.334661211411011,2022-10-24,建筑安装业,资本货物,专业工程,通信设备,主板,广东省,深圳市,1
000034,神州数码,167400,14/28,3.2%,44000,4-28,8.0%,6000,179820.0,27.85,31.6220870190968,973.4161,50625.3104,49705.9824,919.328,0.063552048215598,0.163298947271063,,批发业,技术硬件与设备,IT服务Ⅱ,云服务,主板,广东省,深圳市,1
000035,中国天楹,0,,2.0%,306500,3-28,5.0%,0,0.0,5.46,6.24726379685043,499.8111,42733.9851,48690.2567,-5956.2716,0.0373125184089427,0.509732716279823,,生态保护和环境治理业,商业和专业服务,环境治理,环保及公用事业,主板,江苏省,海安市,0
000036,华联控股,0,,2.0%,329100,3-28,5.0%,0,0.0,4.14,-2.13638089061353,40.2222,17005.7057,16802.1547,203.551,0.00656597265734144,0.448097160839958,,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,广东省,深圳市,0
000039,中集集团,0,,2.0%,940900,7-42,4.0%,29100,207483.0,7.17,28.8475449813123,702.9276,115437.4697,116458.5379,-1021.0682,0.0425988606651036,0.617349380720968,,金属制品业,资本货物,通用设备,运输设备,主板,广东省,深圳市,0
000040,东旭蓝天,175500,7/14/28,3.2%,243800,7/14/28,5.0%,0,0.0,4.05,21.2574850299401,185.2065,2322.9607,2112.5757,210.385,0.0431276487772557,0.0186471175924038,,电力、热力生产和供应业,公用事业Ⅱ,电力,环保及公用事业,主板,广东省,深圳市,1
000042,中洲控股,0,,2.0%,120600,7/14/28,6.0%,0,0.0,7.99,-15.2486957077311,0.0,147.0333,147.9936,-0.9603,0.0,0.00535830381513427,2022-10-24,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,广东省,深圳市,0
000048,京基智农,0,,2.0%,190200,7/14/28,5.0%,1600,31136.0,20.13,5.3685955312643,210.3625,5596.013,5410.4762,185.5368,0.0199721230935856,0.105972245297297,2022-10-24,农副食品加工业,食品、饮料与烟草,房地产开发,畜牧业,主板,广东省,深圳市,0
000049,德赛电池,48900,14/28,3.2%,31200,7/14/28,6.0%,4200,131460.0,31.34,-15.2967641402787,591.1884,50733.6048,50099.1993,634.4055,0.063030673917168,0.177567304287404,,电气机械和器材制造业,资本货物,电池,消费电子,主板,广东省,深圳市,1
000050,深天马Ａ,0,,3.4%,1719900,7-42,5.0%,500,4290.0,8.7,-45.8278666272203,898.4969,129842.8487,128871.5496,971.2991,0.0434698878009057,0.984214076061091,,计算机、通信和其他电子设备制造业,技术硬件与设备,光学光电子,光学光电,主板,广东省,深圳市,0
000055,方大集团,0,,2.0%,199600,7/14/28,6.0%,0,0.0,4.95,3.29166290682269,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-24,金属制品业,资本货物,装修建材,专用材料Ⅱ,主板,广东省,深圳市,0
000056,皇庭国际,0,,2.0%,263800,7/14/28,7.0%,0,0.0,3.65,-6.16966580976863,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-24,商务服务业,商业和专业服务,房地产服务,房地产开发和运营,主板,广东省,深圳市,0
000058,深 赛 格,0,,2.0%,174200,3-28,6.0%,0,0.0,6.54,-38.5525254053953,15.7823,1513.4467,1497.9655,15.4812,0.00245073166646978,0.0232809643011607,2022-10-24,商务服务业,房地产Ⅱ,一般零售,房地产开发和运营,主板,广东省,深圳市,0
