证券代码,证券名称,华泰借入数量(股),华泰借入期限(天),华泰借入利率,华泰融出数量(股),华泰融出期限(天),华泰融出利率,成交量(股),成交额(元),最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券偿还额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%),融券标的纳入日期,证监会行业,Wind行业,申银万国行业,中信证券行业,上市板块,所属省份,所属城市,flag
1,平安银行,0,,0.02 ,15847000,3-182,0.04 ,0,0,11.56,-16.72642303,1911.4055,859349.6612,942902.1303,-83552.4691,0.008520579,0.703306233,,货币金融服务,银行,股份制银行Ⅱ,全国性股份制银行Ⅱ,主板,广东省,深圳市,0
2,万  科Ａ,100,7,0.03 ,16374900,3-182,0.05 ,0,0,14.31,-41.52281292,10270.8509,1120683.281,1135702.401,-15019.1197,0.07386683,0.830269385,,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,广东省,深圳市,1
6,深振业Ａ,805500,7/14/28,0.03 ,191400,3月28日,0.08 ,0,0,5.39,-20.49699963,847.2449,15361.7648,15310.8504,50.9144,0.1164362,0.156770447,,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,广东省,深圳市,1
8,神州高铁,0,,0.02 ,411400,7/14/28,0.07 ,0,0,2.53,-19.68253968,9.3863,5117.0754,5998.4189,-881.3435,0.001410607,0.095954873,,铁路、船舶、航空航天和其他运输设备制造业,资本货物,轨交设备Ⅱ,运输设备,主板,北京,北京市,0
9,中国宝安,0,,0.02 ,815400,7-42,0.04 ,31000,334490,10.71,36.34040869,2509.8585,445791.915,443943.2963,1848.6187,0.091849343,0.658141889,,综合,资本货物,电池,综合Ⅱ,主板,广东省,深圳市,0
12,南  玻Ａ,0,,0.02 ,760800,7-42,0.05 ,5500,32340,5.86,3.036230507,521.305,109746.1956,110081.9137,-335.7181,0.045469251,0.429284593,,非金属矿物制品业,材料Ⅱ,玻璃玻纤,结构材料,主板,广东省,深圳市,0
16,深康佳Ａ,5500,14/28,0.03 ,223600,7/14/28,0.06 ,0,0,4.38,-40.59746485,753.3903,14437.1028,13569.6709,867.4319,0.107733675,0.16861199,,计算机、通信和其他电子设备制造业,耐用消费品与服装,黑色家电,黑色家电Ⅱ,主板,广东省,深圳市,1
21,深科技,0,,0.02 ,218900,7/14/28,0.06 ,15600,261456,16.73,-35.71966954,3452.3876,208600.4068,207470.7314,1129.6754,0.132280014,0.527720424,,计算机、通信和其他电子设备制造业,技术硬件与设备,消费电子,消费电子,主板,广东省,深圳市,0
25,特  力Ａ,0,,0.02 ,61200,7/14/28,0.07 ,0,0,16.01,-29.42934005,10154.2656,59419.5305,46685.2144,12734.3161,1.614766306,0.460462873,,批发业,零售业,综合Ⅱ,综合Ⅱ,主板,广东省,深圳市,0
27,深圳能源,0,,0.02 ,580000,7-42,0.05 ,50000,327500,6.54,23.49608862,1517.3487,66144.2024,66268.2381,-124.0357,0.048768444,0.239193735,,电力、热力生产和供应业,公用事业Ⅱ,电力,发电及电网,主板,广东省,深圳市,0
28,国药一致,0,,0.02 ,100600,7/14/28,0.06 ,0,0,32.72,-17.87178782,244.0781,50533.6837,52326.4989,-1792.8152,0.015604104,0.509768027,,批发业,医疗保健设备与服务,医药商业,其他医药医疗,主板,广东省,深圳市,0
29,深深房Ａ,79700,7月14日,0.03 ,81800,7/14/28,0.07 ,2800,33992,12.17,15.42311484,399.5885,2515.6211,2124.7452,390.8759,0.036823335,0.041698058,2022/10/24,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,广东省,深圳市,1
