日期,最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%)
2020-08-21,14.45,-0.96,"64,969.13","6,511.77","5,461.13",0.23,3.64
2020-08-24,14.46,0.07,"64,624.39",932.53,-392.19,0.23,0.70
2020-08-25,14.60,0.97,"67,552.79","2,371.24","2,298.94",0.24,2.17
2020-08-26,14.37,-1.58,"68,213.14","4,176.27","1,728.37",0.24,3.95
2020-08-27,14.46,0.63,"70,493.26","2,400.45","1,831.35",0.25,2.68
2020-08-28,15.13,4.63,"76,714.43","3,263.83","2,916.08",0.26,0.91
2020-08-31,15.08,-0.33,"80,142.55","4,546.95","3,749.94",0.27,1.65
2020-09-01,15.14,0.40,"82,848.24","3,484.35","2,380.02",0.28,2.84
2020-09-02,15.32,1.19,"86,442.07","2,944.58","2,612.04",0.29,1.14
2020-09-03,14.90,-2.74,"85,417.30","2,277.91","1,353.74",0.30,1.19
2020-09-04,14.96,0.40,"86,369.54","1,950.24",604.86,0.30,1.44
2020-09-07,14.94,-0.13,"86,081.52",335.41,-173.80,0.30,0.22
2020-09-08,15.43,3.28,"90,049.56","1,820.89","1,135.42",0.30,0.85
2020-09-09,15.21,-1.43,"88,602.35",801.56,-164.59,0.30,0.52
2020-09-10,15.34,0.85,"90,224.35",992.25,865.44,0.30,0.68
2020-09-11,15.01,-2.15,"90,212.95","2,471.65","1,928.91",0.31,1.73
2020-09-14,15.30,1.93,"92,192.57","1,073.06",330.21,0.31,1.04
2020-09-15,15.35,0.33,"92,357.59",856.70,-234.23,0.31,0.85
2020-09-16,15.44,0.59,"102,572.95","9,809.38","9,667.43",0.34,8.80
2020-09-17,15.57,0.84,"105,293.90","2,142.01","1,863.07",0.35,1.39
2020-09-18,16.07,3.21,"108,492.01",191.41,-181.54,0.35,0.09
2020-09-21,15.86,-1.31,"105,965.97",679.78,"-1,105.99",0.34,0.48
2020-09-22,15.57,-1.83,"109,361.89","5,556.09","5,347.08",0.36,4.10
2020-09-23,15.63,0.39,"112,458.47","2,804.36","2,684.32",0.37,2.98
2020-09-24,15.12,-3.26,"109,528.45","2,389.68",748.27,0.37,1.47
2020-09-25,15.19,0.46,"109,277.55","2,920.26",-758.17,0.37,3.13
2020-09-28,15.31,0.79,"115,843.13","7,917.87","5,670.33",0.39,8.49
2020-09-29,14.80,-3.33,"111,402.42","3,200.67",-587.43,0.39,1.81
